index,Date,Close,High,Low,Open,Volume,Daily Return
,,AAPL,AAPL,AAPL,AAPL,AAPL,
0,2020-01-02,72.33387756347656,72.39408555090253,71.0911838210517,71.34405442839761,135480400,
1,2020-01-03,71.6306381225586,72.38925722098051,71.40666619485818,71.56320547713457,146322800,
2,2020-01-06,72.20142364501953,72.23995764322866,70.5035611498287,70.75402846338375,118387200,
3,2020-01-07,71.86184692382812,72.46633010238772,71.64268897397623,72.21104883104543,108872000,
4,2020-01-08,73.01782989501953,73.31886979288494,71.56561372170107,71.56561372170107,132079200,
5,2020-01-09,74.56878662109375,74.76144921222713,73.7427349209394,73.99319481949146,170108400,
6,2020-01-10,74.73736572265625,75.30091887725054,74.23643856809193,74.80239504412852,140644800,
7,2020-01-13,76.33409118652344,76.36058652225458,74.93485817482635,75.05287082554342,121532000,
8,2020-01-14,75.3033447265625,76.48101668324267,75.18052540962947,76.27149402827726,161954400,
9,2020-01-15,74.9806137084961,75.98247543934815,74.54952248725758,75.10344034713454,121923600,
10,2020-01-16,75.91985321044922,76.03064118697364,75.16123412136378,75.52248200660513,108829200,
11,2020-01-17,76.76036834716797,76.76277166888072,75.86206254796348,76.16791647174253,137816400,
12,2020-01-21,76.24015808105469,76.83019183971173,76.1028821310267,76.38947268651397,110843200,
13,2020-01-22,76.5123062133789,77.06380603496487,76.4183782339569,76.72423213565071,101832400,
14,2020-01-23,76.88079071044922,76.96026202494508,76.01860816134078,76.56530142477,104472000,
15,2020-01-24,76.65919494628906,77.86816833505755,76.4689357036674,77.1264093803084,146537600,
16,2020-01-27,74.405029296875,75.08416976822737,73.42484155700832,74.67234921705278,161940000,
17,2020-01-28,76.50990295410156,76.68089158109271,75.18532722614749,75.28406920782065,162234000,
18,2020-01-29,78.11143493652344,78.95675744540253,77.39857441186852,78.13793027321145,216229200,
19,2020-01-30,77.99822998046875,78.05121329496869,76.76517176985938,77.19626294921763,126743200,
20,2020-01-31,74.5398941040039,77.71164655303768,74.24607885109228,77.29019066933044,199588400,
21,2020-02-03,74.3351821899414,75.49839714349714,72.78422401879573,73.2851511845041,173788400,
22,2020-02-04,76.78926086425781,76.9795201431656,75.53211792000401,75.93671379066781,136616400,
23,2020-02-05,77.4154281616211,78.21258127557842,76.81334832632962,77.91394467954083,118826800,
24,2020-02-06,78.32096862792969,78.32337929968051,77.12885469909907,77.68517600247516,105425600,
25,2020-02-07,77.25634765625,78.06987612347613,76.76629893571341,77.82123085871221,117684000,
26,2020-02-10,77.6233139038086,77.6233139038086,75.76451086097089,75.84417079645658,109348800,
27,2020-02-11,77.15497589111328,78.19059906005786,76.9377141953968,78.11818095050265,94323200,
28,2020-02-12,78.98721313476562,78.99203855171046,77.60396869052254,77.60396869052254,113730400,
29,2020-02-13,78.42476654052734,78.75066279160559,78.0578358133656,78.26061390209061,94747600,
30,2020-02-14,78.44407653808594,78.6927218682662,77.93712767417983,78.39337649475979,80113600,
31,2020-02-18,77.00772094726562,77.18877358272158,75.94795598487916,76.12900862033511,152531200,
32,2020-02-19,78.12300109863281,78.35233737517142,77.24912158938099,77.24912158938099,93984000,
33,2020-02-20,77.321533203125,78.3716398349872,76.81700080414447,77.88400744802773,100566000,
34,2020-02-21,75.57135772705078,77.35774940247184,74.95578178960817,76.91597690115918,129554000,
35,2020-02-24,71.98169708251953,73.43011814732492,69.8211400810818,71.75960997813098,222195200,
36,2020-02-25,69.54350280761719,73.03178561562022,69.07277049917455,72.65037140517215,230673600,
37,2020-02-26,70.646728515625,71.90927139616765,69.16209855410392,69.16934036398257,198054800,
38,2020-02-27,66.02870178222656,69.04142098650374,65.89351637245633,67.85854496748809,320605600,
39,2020-02-28,65.99005126953125,67.20914325476264,61.88860853206062,62.10346116385855,426510000,
40,2020-03-02,72.13378143310547,72.76867383608672,67.04258234775999,68.14338175177791,341397200,
41,2020-03-03,69.84285736083984,73.38665871766685,68.99311238709194,73.3069988099028,319475600,
42,2020-03-04,73.08248901367188,73.24181619852034,70.76260504877715,71.56164999828624,219178400,
43,2020-03-05,70.7118911743164,72.31238961864213,70.34736966221641,71.3395341562257,187572800,
44,2020-03-06,69.77286529541016,70.20497969740977,67.88992061879122,68.07579869358199,226176800,
45,2020-03-09,64.25437927246094,67.1319051551366,63.48912685930832,63.670179502443226,286744800,
46,2020-03-10,68.88206481933594,69.14761010810192,65.02685113261988,66.90256079781972,285290000,
47,2020-03-11,66.48975372314453,67.88748182990133,65.62794159632746,66.96290981260235,255598800,
48,2020-03-12,59.92359924316406,65.17895530003963,59.868077460777144,61.78482214303871,418474000,
49,2020-03-13,67.10293579101562,67.57367559511492,61.06301877546382,63.94538103600016,370732000,
50,2020-03-16,58.470340728759766,62.54281272853614,57.93683739697829,58.40757346412376,322423600,
51,2020-03-17,61.04129409790039,62.187957132183904,57.55059758461941,59.74978379495811,324056000,
52,2020-03-18,59.5470085144043,60.350882714180244,57.2416040580175,57.88132562490314,300233600,
53,2020-03-19,59.09074783325195,61.036459434063396,58.566902685612334,59.72081110917334,271857200,
54,2020-03-20,55.3393440246582,60.79264863512061,55.04000233501268,59.67012006159394,401693200,
55,2020-03-23,54.163700103759766,55.160697700443244,51.32479637531141,55.05930867623348,336752800,
56,2020-03-24,59.59769821166992,59.79323446043245,56.56084169108887,57.05813231967632,287531200,
57,2020-03-25,59.269378662109375,62.34244368334185,58.97486614557388,60.53191772932418,303602000,
58,2020-03-26,62.38832473754883,62.44625922344338,59.472169846872056,59.51079529315195,252087200,
59,2020-03-27,59.805301666259766,61.767909526223264,59.638732669554486,61.01473181958192,204216800,
60,2020-03-30,61.512020111083984,61.683418202528024,60.206026401052306,60.529509863529455,167976400,
61,2020-03-31,61.38648986816406,63.365997685508034,60.833677514674484,61.702731524008335,197002000,
62,2020-04-01,58.156517028808594,60.041877740721404,57.726819101176545,59.50596168562525,176218400,
63,2020-04-02,59.12696075439453,59.18006982201146,57.188490836952404,58.01891951220774,165934000,
64,2020-04-03,58.2772102355957,59.31282945954129,57.68818520309446,58.612760898074754,129880000,
65,2020-04-06,63.36119079589844,63.51568523881815,60.20121917390235,60.568149922006974,201820400,
66,2020-04-07,62.6273193359375,65.5893455207901,62.52351758063344,65.3720764386448,202887200,
67,2020-04-08,64.23023223876953,64.54405384793799,63.06184016051964,63.42635444288139,168895200,
68,2020-04-09,64.69373321533203,65.19585671097452,63.89952086210519,64.86513503536223,161834800,
69,2020-04-13,65.9635238647461,66.07215841536981,64.17230617831575,64.77098966919036,131022800,
70,2020-04-14,69.29486846923828,69.58455560243435,67.12223707141726,67.59297682109842,194994800,
71,2020-04-15,68.66239166259766,69.1210568119712,67.74506136385055,68.17234288135833,131154400,
72,2020-04-16,69.20796966552734,69.57249130619873,68.16027936470277,69.37453866907585,157125200,
73,2020-04-17,68.26890563964844,69.27073604048029,66.83496828577375,68.72516178272222,215250000,
74,2020-04-20,66.85186767578125,67.99853426971617,66.83255863780644,67.09810395402242,130015200,
75,2020-04-21,64.78544616699219,66.92911009651182,64.07571939662287,66.69494844279068,180991600,
76,2020-04-22,66.6515121459961,67.0860355273564,65.71003990834832,66.05041238241853,116862400,
77,2020-04-23,66.3932113647461,68.0154433517939,66.35458591659604,66.59598944224571,124814400,
78,2020-04-24,68.30995178222656,68.31960998543786,66.86877252729914,66.91705617630512,126161200,
79,2020-04-27,68.35823059082031,68.68895219864656,67.58091104598891,68.02750161594408,117087600,
80,2020-04-28,67.25019073486328,69.00036629064134,67.1584635837108,68.81931364694016,112004800,
81,2020-04-29,69.45905303955078,69.92737656274731,68.53206419889801,68.73484231712963,137280800,
82,2020-04-30,70.92434692382812,71.10057413486881,69.60870223992275,69.99735834734561,183064000,
83,2020-05-01,69.78250122070312,72.17963585405194,69.00518177066984,69.10174168301795,240616800,
84,2020-05-04,70.76985931396484,70.89780288941466,69.11866006272429,69.80666159250394,133568000,
85,2020-05-05,71.83203887939453,72.66246767070962,71.08368641004002,71.2285300116976,147751200,
86,2020-05-06,72.57312774658203,73.2031872790944,72.14825527383692,72.53208591439893,142333600,
87,2020-05-07,73.32388305664062,73.6690955962119,72.8966015934725,73.1983559121912,115215200,
88,2020-05-08,75.0691146850586,75.12236750357918,73.65550314168313,73.98228146501447,133838400,
89,2020-05-11,76.25035095214844,76.74414173878206,74.36956400000152,74.57773678757478,145946400,
90,2020-05-12,75.37896728515625,77.38319884408511,75.25793879153254,76.93296900656856,162301200,
91,2020-05-13,74.46883392333984,76.47791143801962,73.39410026175051,75.55809041384309,200622400,
92,2020-05-14,74.92631530761719,74.98682954910396,72.98743664654351,73.70876906438306,158929200,
93,2020-05-15,74.48336791992188,74.5293593473761,72.66794016355354,72.70183169409641,166348400,
94,2020-05-18,76.2382583618164,76.611028150083,75.11511790410643,75.80498172029709,135178400,
